iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
222	0.01	0.01	0.154002	0.106311	-58.2105	0.998723
223	0.01	0.01	0.161326	0.109069	-58.3351	1.00214
224	0.01	0.01	0.153331	0.105179	-57.9505	0.993406
225	0.01	0.01	0.145631	0.0899849	-55.7419	0.961888
226	0.01	0.01	0.142668	0.115438	-57.5549	1.03252
227	0.01	0.01	0.127708	0.129237	-61.124	1.06201
228	0.01	0.01	0.129144	0.131552	-59.5725	0.974617
229	0.01	0.01	0.128653	0.142633	-61.4441	1.03142
230	0.01	0.01	0.121819	0.149136	-60.7072	0.988008
231	0.01	0.01	0.124918	0.155726	-61.1818	1.00782
232	0.01	0.01	0.110806	0.168825	-62.9148	1.02833
233	0.01	0.01	0.11316	0.178246	-65.2189	1.03662
234	0.01	0.01	0.116717	0.15985	-63.7496	0.977471
235	0.01	0.01	0.125916	0.160179	-63.7947	1.00071
236	0.01	0.01	0.127632	0.160451	-63.7073	0.998629
237	0.01	0.01	0.124222	0.17004	-62.0352	0.973753
238	0.01	0.01	0.0997105	0.169799	-63.573	1.02479
239	0.01	0.01	0.100549	0.156469	-61.6445	0.969665
240	0.01	0.01	0.0926763	0.163716	-63.2985	1.02683
241	0.01	0.01	0.0903549	0.176923	-63.4024	1.00164
242	0.01	0.01	0.0738666	0.176285	-62.1583	0.980378
243	0.01	0.01	0.0931116	0.201819	-67.0455	1.07862
244	0.01	0.01	0.0998973	0.210316	-67.6447	1.00894
245	0.01	0.01	0.0924322	0.207563	-68.77	1.01664
246	0.01	0.01	0.0983994	0.195311	-65.5695	0.95346
247	0.01	0.01	0.103442	0.201313	-66.5728	1.0153
248	0.01	0.01	0.103414	0.184129	-65.8216	0.988716
249	0.01	0.01	0.116667	0.191912	-66.5752	1.01145
250	0.01	0.01	0.117101	0.183293	-66.6424	1.00101
251	0.01	0.01	0.106082	0.182089	-64.1907	0.96321
252	0.01	0.01	0.104482	0.189764	-65.0705	1.01371
253	0.01	0.01	0.107477	0.180583	-64.5316	0.991717
254	0.01	0.01	0.102225	0.164688	-62.9662	0.975743
255	0.01	0.01	0.094281	0.164166	-63.1268	1.00255
256	0.01	0.01	0.086296	0.147224	-61.2134	0.969691
257	0.01	0.01	0.0685794	0.14413	-60.5068	0.988456
